BankType,ChannelType,MonthYear,M_Value,MeasureName,TransType
Bank,EDC/EFTPOS,JUN 2010,14391.85,volume_k,e-Payments (Royal Decree)
Bank,Internet,JUN 2010,5331.25,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,JUN 2010,1321.34,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,JUN 2010,910.17,volume_k,e-Payments (Royal Decree)
Bank,Telephone,JUN 2010,288.66,volume_k,e-Payments (Royal Decree)
Bank,Others,JUN 2010,529.77,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,JUN 2010,1165.64,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,JUN 2010,6876.7,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,JUN 2010,7490.9,volume_k,e-Payments (Royal Decree)
Non-bank,Mobile Phone,JUN 2010,26.6,volume_k,e-Payments (Royal Decree)
Non-bank,Others,JUN 2010,1543.36,volume_k,e-Payments (Royal Decree)
Bank,Counter,JUL 2010,761.18,volume_k,e-Payments (Royal Decree)
Bank,ATM,JUL 2010,25180.42,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,JUL 2010,15115.21,volume_k,e-Payments (Royal Decree)
Bank,Internet,JUL 2010,5282.67,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,JUL 2010,1344.6,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,JUL 2010,902.36,volume_k,e-Payments (Royal Decree)
Bank,Telephone,JUL 2010,288.25,volume_k,e-Payments (Royal Decree)
Bank,Others,JUL 2010,558.89,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,JUL 2010,1110.44,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,JUL 2010,7171.76,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,JUL 2010,6917.86,volume_k,e-Payments (Royal Decree)
Non-bank,Mobile Phone,JUL 2010,28.26,volume_k,e-Payments (Royal Decree)
Non-bank,Others,JUL 2010,1802.74,volume_k,e-Payments (Royal Decree)
Bank,Counter,AUG 2010,798.45,volume_k,e-Payments (Royal Decree)
Bank,ATM,AUG 2010,25186.85,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,AUG 2010,15826.4,volume_k,e-Payments (Royal Decree)
Bank,Internet,AUG 2010,5404.47,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,AUG 2010,1389.58,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,AUG 2010,926.41,volume_k,e-Payments (Royal Decree)
Bank,Telephone,AUG 2010,289.22,volume_k,e-Payments (Royal Decree)
Bank,Others,AUG 2010,613.38,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,AUG 2010,1149.4,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,AUG 2010,7392.88,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,AUG 2010,8344.68,volume_k,e-Payments (Royal Decree)
Non-bank,Mobile Phone,AUG 2010,28.37,volume_k,e-Payments (Royal Decree)
Non-bank,Others,AUG 2010,1684.84,volume_k,e-Payments (Royal Decree)
Bank,Counter,SEP 2010,811.0,volume_k,e-Payments (Royal Decree)
Bank,ATM,SEP 2010,25362.71,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,SEP 2010,14874.61,volume_k,e-Payments (Royal Decree)
Bank,Internet,SEP 2010,5582.66,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,SEP 2010,1417.44,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,SEP 2010,930.62,volume_k,e-Payments (Royal Decree)
Bank,Telephone,SEP 2010,287.53,volume_k,e-Payments (Royal Decree)
Bank,Others,SEP 2010,667.02,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,SEP 2010,1160.48,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,SEP 2010,6811.32,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,SEP 2010,9234.73,volume_k,e-Payments (Royal Decree)
Non-bank,Mobile Phone,SEP 2010,28.97,volume_k,e-Payments (Royal Decree)
Non-bank,Others,SEP 2010,1556.97,volume_k,e-Payments (Royal Decree)
Bank,Counter,OCT 2010,761.55,volume_k,e-Payments (Royal Decree)
Bank,ATM,OCT 2010,25400.16,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,OCT 2010,15553.95,volume_k,e-Payments (Royal Decree)
Bank,Internet,OCT 2010,5799.53,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,OCT 2010,1468.05,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,OCT 2010,896.23,volume_k,e-Payments (Royal Decree)
Bank,Telephone,OCT 2010,291.76,volume_k,e-Payments (Royal Decree)
Bank,Others,OCT 2010,952.21,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,OCT 2010,1009.24,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,OCT 2010,7316.51,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,OCT 2010,10348.62,volume_k,e-Payments (Royal Decree)
Non-bank,Mobile Phone,OCT 2010,31.27,volume_k,e-Payments (Royal Decree)
Non-bank,Others,OCT 2010,1951.41,volume_k,e-Payments (Royal Decree)
