ChannelType,MeasureName,UsageType,MonthYear,M_Value,TransType
Mobile Banking,agreements,,DEC 2017,32143467.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,DEC 2017,157710.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,DEC 2017,1956.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,DEC 2017,1086.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,DEC 2017,4.0,Online Banking
Internet Banking,agreements,,JAN 2018,20708925.0,Online Banking
Internet Banking,volume_k,,JAN 2018,15616.0,Online Banking
Internet Banking,value_b,,JAN 2018,1830.0,Online Banking
Mobile Banking,agreements,,JAN 2018,34017400.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,JAN 2018,167157.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,JAN 2018,2182.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,JAN 2018,1149.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,JAN 2018,4.0,Online Banking
Internet Banking,agreements,,FEB 2018,21093121.0,Online Banking
Internet Banking,volume_k,,FEB 2018,15222.0,Online Banking
Internet Banking,value_b,,FEB 2018,1742.0,Online Banking
Mobile Banking,agreements,,FEB 2018,35028954.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,FEB 2018,168787.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,FEB 2018,2406.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,FEB 2018,1129.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,FEB 2018,4.0,Online Banking
Internet Banking,agreements,,MAR 2018,21614936.0,Online Banking
Internet Banking,volume_k,,MAR 2018,17321.0,Online Banking
Internet Banking,value_b,,MAR 2018,1879.0,Online Banking
Mobile Banking,agreements,,MAR 2018,36148535.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,MAR 2018,194459.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,MAR 2018,3010.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,MAR 2018,1295.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,MAR 2018,5.0,Online Banking
Internet Banking,agreements,,APR 2018,22017607.0,Online Banking
Internet Banking,volume_k,,APR 2018,19171.0,Online Banking
Internet Banking,value_b,,APR 2018,1768.0,Online Banking
Mobile Banking,agreements,,APR 2018,37229785.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,APR 2018,190769.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,APR 2018,3182.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,APR 2018,1228.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,APR 2018,6.0,Online Banking
Internet Banking,agreements,,MAY 2018,22503791.0,Online Banking
Internet Banking,volume_k,,MAY 2018,21388.0,Online Banking
Internet Banking,value_b,,MAY 2018,1945.0,Online Banking
Mobile Banking,agreements,,MAY 2018,38635917.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,MAY 2018,218128.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,MAY 2018,3823.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,MAY 2018,1405.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,MAY 2018,6.0,Online Banking
Internet Banking,agreements,,JUN 2018,23189100.0,Online Banking
Internet Banking,volume_k,,JUN 2018,23319.0,Online Banking
Internet Banking,value_b,,JUN 2018,1966.0,Online Banking
Mobile Banking,agreements,,JUN 2018,40292025.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,JUN 2018,226898.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,JUN 2018,4142.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,JUN 2018,1431.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,JUN 2018,7.0,Online Banking
Internet Banking,agreements,,JUL 2018,23686680.0,Online Banking
Internet Banking,volume_k,,JUL 2018,25301.0,Online Banking
Internet Banking,value_b,,JUL 2018,1909.0,Online Banking
Mobile Banking,agreements,,JUL 2018,41604241.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,JUL 2018,244405.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,JUL 2018,4585.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,JUL 2018,1505.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,JUL 2018,8.0,Online Banking
Internet Banking,agreements,,AUG 2018,24288451.0,Online Banking
Internet Banking,volume_k,,AUG 2018,26762.0,Online Banking
Internet Banking,value_b,,AUG 2018,2092.0,Online Banking
Mobile Banking,agreements,,AUG 2018,43055219.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,AUG 2018,257757.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,AUG 2018,5304.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,AUG 2018,1572.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,AUG 2018,9.0,Online Banking
Internet Banking,agreements,,SEP 2018,24761505.0,Online Banking
Internet Banking,volume_k,,SEP 2018,27529.0,Online Banking
Internet Banking,value_b,,SEP 2018,2046.0,Online Banking
Mobile Banking,agreements,,SEP 2018,44272676.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,SEP 2018,267674.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,SEP 2018,6050.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,SEP 2018,1557.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,SEP 2018,10.0,Online Banking
Internet Banking,agreements,,OCT 2018,22404525.0,Online Banking
Internet Banking,volume_k,,OCT 2018,30361.0,Online Banking
Internet Banking,value_b,,OCT 2018,2121.0,Online Banking
Mobile Banking,agreements,,OCT 2018,43289560.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,OCT 2018,291698.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,OCT 2018,6845.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,OCT 2018,1661.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,OCT 2018,12.0,Online Banking
Internet Banking,agreements,,NOV 2018,23072209.0,Online Banking
Internet Banking,volume_k,,NOV 2018,28989.0,Online Banking
Internet Banking,value_b,,NOV 2018,2084.0,Online Banking
Mobile Banking,agreements,,NOV 2018,44738376.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,NOV 2018,295422.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,NOV 2018,7302.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,NOV 2018,1712.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,NOV 2018,13.0,Online Banking
Internet Banking,agreements,,DEC 2018,23861834.0,Online Banking
Internet Banking,volume_k,,DEC 2018,33792.0,Online Banking
Internet Banking,value_b,,DEC 2018,2148.0,Online Banking
Mobile Banking,agreements,,DEC 2018,46004931.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,DEC 2018,316214.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,DEC 2018,7804.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,DEC 2018,1857.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,DEC 2018,15.0,Online Banking
Internet Banking,agreements,,JAN 2019,23855679.0,Online Banking
Internet Banking,volume_k,,JAN 2019,34251.0,Online Banking
Internet Banking,value_b,,JAN 2019,1939.0,Online Banking
Mobile Banking,agreements,,JAN 2019,47055590.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,JAN 2019,316259.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,JAN 2019,11986.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,JAN 2019,1796.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,JAN 2019,23.0,Online Banking
Internet Banking,agreements,,FEB 2019,24270338.0,Online Banking
Internet Banking,volume_k,,FEB 2019,34735.0,Online Banking
Internet Banking,value_b,,FEB 2019,1993.0,Online Banking
Mobile Banking,agreements,,FEB 2019,48017782.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,FEB 2019,314437.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,FEB 2019,12907.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,FEB 2019,1749.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,FEB 2019,24.0,Online Banking
Internet Banking,agreements,,MAR 2019,25004793.0,Online Banking
Internet Banking,volume_k,,MAR 2019,40353.0,Online Banking
Internet Banking,value_b,,MAR 2019,2070.0,Online Banking
Mobile Banking,agreements,,MAR 2019,49756353.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,MAR 2019,358125.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,MAR 2019,15093.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,MAR 2019,1943.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,MAR 2019,28.0,Online Banking
Internet Banking,agreements,,APR 2019,25530433.0,Online Banking
Internet Banking,volume_k,,APR 2019,39086.0,Online Banking
Internet Banking,value_b,,APR 2019,2107.0,Online Banking
Mobile Banking,agreements,,APR 2019,50881455.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,APR 2019,339193.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,APR 2019,15278.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,APR 2019,1777.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,APR 2019,29.0,Online Banking
Internet Banking,agreements,,MAY 2019,26278742.0,Online Banking
Internet Banking,volume_k,,MAY 2019,43158.0,Online Banking
Internet Banking,value_b,,MAY 2019,2258.0,Online Banking
Mobile Banking,agreements,,MAY 2019,54091763.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,MAY 2019,375791.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,MAY 2019,17562.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,MAY 2019,1956.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,MAY 2019,33.0,Online Banking
Internet Banking,agreements,,JUN 2019,26548701.0,Online Banking
Internet Banking,volume_k,,JUN 2019,45369.0,Online Banking
Internet Banking,value_b,,JUN 2019,2268.0,Online Banking
Mobile Banking,agreements,,JUN 2019,55153004.0,Online Banking
