ChannelType,MeasureName,UsageType,MonthYear,M_Value,TransType
Internet Banking,value_b,,FEB 2021,1984.0,Online Banking
Mobile Banking,agreements,,FEB 2021,70132197.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,FEB 2021,997041.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,FEB 2021,41250.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,FEB 2021,3968.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,FEB 2021,82.0,Online Banking
Internet Banking,agreements,,MAR 2021,35498415.0,Online Banking
Internet Banking,volume_k,,MAR 2021,44772.0,Online Banking
Internet Banking,value_b,,MAR 2021,2420.0,Online Banking
Mobile Banking,agreements,,MAR 2021,72081849.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,MAR 2021,1139542.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,MAR 2021,46867.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,MAR 2021,4540.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,MAR 2021,96.0,Online Banking
Internet Banking,agreements,,APR 2021,35415516.0,Online Banking
Internet Banking,volume_k,,APR 2021,44181.0,Online Banking
Internet Banking,value_b,,APR 2021,2080.0,Online Banking
Mobile Banking,agreements,,APR 2021,72618221.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,APR 2021,1049544.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,APR 2021,42055.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,APR 2021,4317.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,APR 2021,85.0,Online Banking
Internet Banking,agreements,,MAY 2021,35608988.0,Online Banking
Internet Banking,volume_k,,MAY 2021,48089.0,Online Banking
Internet Banking,value_b,,MAY 2021,2174.0,Online Banking
Mobile Banking,agreements,,MAY 2021,73792720.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,MAY 2021,1157488.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,MAY 2021,43353.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,MAY 2021,4542.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,MAY 2021,87.0,Online Banking
Internet Banking,agreements,,JUN 2021,35857161.0,Online Banking
Internet Banking,volume_k,,JUN 2021,45646.0,Online Banking
Internet Banking,value_b,,JUN 2021,2258.0,Online Banking
Mobile Banking,agreements,,JUN 2021,74982583.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,JUN 2021,1177297.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,JUN 2021,45610.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,JUN 2021,4619.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,JUN 2021,88.0,Online Banking
Internet Banking,agreements,,JUL 2021,36178314.0,Online Banking
Internet Banking,volume_k,,JUL 2021,54394.0,Online Banking
Internet Banking,value_b,,JUL 2021,2184.0,Online Banking
Mobile Banking,agreements,,JUL 2021,76526614.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,JUL 2021,1389374.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,JUL 2021,42103.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,JUL 2021,4540.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,JUL 2021,84.0,Online Banking
Internet Banking,agreements,,AUG 2021,37403761.0,Online Banking
Internet Banking,volume_k,,AUG 2021,49568.0,Online Banking
Internet Banking,value_b,,AUG 2021,2195.0,Online Banking
Mobile Banking,agreements,,AUG 2021,78545218.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,AUG 2021,1365230.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,AUG 2021,44564.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,AUG 2021,4687.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,AUG 2021,84.0,Online Banking
Internet Banking,agreements,,SEP 2021,36638170.0,Online Banking
Internet Banking,volume_k,,SEP 2021,52521.0,Online Banking
Internet Banking,value_b,,SEP 2021,2342.0,Online Banking
Mobile Banking,agreements,,SEP 2021,78824825.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,SEP 2021,1385128.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,SEP 2021,47784.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,SEP 2021,4838.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,SEP 2021,91.0,Online Banking
Internet Banking,agreements,,OCT 2021,38445163.0,Online Banking
Internet Banking,volume_k,,OCT 2021,52065.0,Online Banking
Internet Banking,value_b,,OCT 2021,2194.0,Online Banking
Mobile Banking,agreements,,OCT 2021,81598287.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,OCT 2021,1575115.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,OCT 2021,48276.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,OCT 2021,5045.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,OCT 2021,98.0,Online Banking
Internet Banking,agreements,,NOV 2021,38714869.0,Online Banking
Internet Banking,volume_k,,NOV 2021,51728.0,Online Banking
Internet Banking,value_b,,NOV 2021,2426.0,Online Banking
Mobile Banking,agreements,,NOV 2021,83091624.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,NOV 2021,1592706.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,NOV 2021,48310.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,NOV 2021,5303.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,NOV 2021,101.0,Online Banking
Internet Banking,agreements,,DEC 2021,38941665.0,Online Banking
Internet Banking,volume_k,,DEC 2021,54830.0,Online Banking
Internet Banking,value_b,,DEC 2021,2758.0,Online Banking
Mobile Banking,agreements,,DEC 2021,84291262.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,DEC 2021,1647990.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,DEC 2021,55075.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,DEC 2021,5778.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,DEC 2021,120.0,Online Banking
Internet Banking,agreements,,JAN 2022,39060505.0,Online Banking
Internet Banking,volume_k,,JAN 2022,52136.0,Online Banking
Internet Banking,value_b,,JAN 2022,2571.0,Online Banking
Mobile Banking,agreements,,JAN 2022,85404368.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,JAN 2022,1509614.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,JAN 2022,55357.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,JAN 2022,5466.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,JAN 2022,112.0,Online Banking
Internet Banking,agreements,,FEB 2022,39310560.0,Online Banking
Internet Banking,volume_k,,FEB 2022,43278.0,Online Banking
Internet Banking,value_b,,FEB 2022,2331.0,Online Banking
Mobile Banking,agreements,,FEB 2022,86484749.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,FEB 2022,1596535.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,FEB 2022,48484.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,FEB 2022,5192.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,FEB 2022,100.0,Online Banking
Internet Banking,agreements,,MAR 2022,39591530.0,Online Banking
Internet Banking,volume_k,,MAR 2022,49379.0,Online Banking
Internet Banking,value_b,,MAR 2022,2993.0,Online Banking
Mobile Banking,agreements,,MAR 2022,87642770.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,MAR 2022,1715210.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,MAR 2022,58540.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,MAR 2022,5338.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,MAR 2022,118.0,Online Banking
Internet Banking,agreements,,APR 2022,39853498.0,Online Banking
Internet Banking,volume_k,,APR 2022,47382.0,Online Banking
Internet Banking,value_b,,APR 2022,2633.0,Online Banking
Mobile Banking,agreements,,APR 2022,88089640.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,APR 2022,1631665.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,APR 2022,56013.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,APR 2022,5003.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,APR 2022,118.0,Online Banking
Internet Banking,agreements,,MAY 2022,38108051.0,Online Banking
Internet Banking,volume_k,,MAY 2022,56146.0,Online Banking
Internet Banking,value_b,,MAY 2022,2661.0,Online Banking
Mobile Banking,agreements,,MAY 2022,86827644.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,MAY 2022,1737706.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,MAY 2022,60351.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,MAY 2022,5479.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,MAY 2022,124.0,Online Banking
Internet Banking,agreements,,JUN 2022,38577544.0,Online Banking
Internet Banking,volume_k,,JUN 2022,54950.0,Online Banking
Internet Banking,value_b,,JUN 2022,2745.0,Online Banking
Mobile Banking,agreements,,JUN 2022,90525967.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,JUN 2022,1767511.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,JUN 2022,61364.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,JUN 2022,5540.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,JUN 2022,123.0,Online Banking
Internet Banking,agreements,,JUL 2022,38852951.0,Online Banking
Internet Banking,volume_k,,JUL 2022,54599.0,Online Banking
Internet Banking,value_b,,JUL 2022,2514.0,Online Banking
Mobile Banking,agreements,,JUL 2022,91620386.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,JUL 2022,1896435.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,JUL 2022,64365.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,JUL 2022,5508.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,JUL 2022,128.0,Online Banking
Internet Banking,agreements,,AUG 2022,39254356.0,Online Banking
Internet Banking,volume_k,,AUG 2022,52192.0,Online Banking
Internet Banking,value_b,,AUG 2022,2678.0,Online Banking
Mobile Banking,agreements,,AUG 2022,93173252.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,AUG 2022,1975080.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,AUG 2022,65508.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,AUG 2022,5713.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,AUG 2022,129.0,Online Banking
