MeasureName,BankType,MonthYear,M_Value,TransType
Topup_Value,Bank,MAY 2011,46.46,e-Money
Topup_Value,Non-bank,MAY 2011,1976.56,e-Money
Spending_Value,Bank,MAY 2011,38.53,e-Money
Spending_Value,Non-bank,MAY 2011,2007.0,e-Money
Cards_Account,Bank,JUN 2011,0.64,e-Money
Cards_Account,Non-bank,JUN 2011,11.86,e-Money
Topup_Value,Bank,JUN 2011,39.33,e-Money
Topup_Value,Non-bank,JUN 2011,1937.43,e-Money
Spending_Value,Bank,JUN 2011,50.87,e-Money
Spending_Value,Non-bank,JUN 2011,2064.16,e-Money
Cards_Account,Bank,JUL 2011,0.63,e-Money
Cards_Account,Non-bank,JUL 2011,11.98,e-Money
Topup_Value,Bank,JUL 2011,33.81,e-Money
Topup_Value,Non-bank,JUL 2011,2022.51,e-Money
Spending_Value,Bank,JUL 2011,39.36,e-Money
Spending_Value,Non-bank,JUL 2011,2053.94,e-Money
Cards_Account,Bank,AUG 2011,0.64,e-Money
Cards_Account,Non-bank,AUG 2011,12.15,e-Money
Topup_Value,Bank,AUG 2011,42.21,e-Money
Topup_Value,Non-bank,AUG 2011,2075.14,e-Money
Spending_Value,Bank,AUG 2011,38.43,e-Money
Spending_Value,Non-bank,AUG 2011,2080.53,e-Money
Cards_Account,Bank,SEP 2011,0.43,e-Money
Cards_Account,Non-bank,SEP 2011,12.27,e-Money
Topup_Value,Bank,SEP 2011,45.26,e-Money
Topup_Value,Non-bank,SEP 2011,2256.69,e-Money
Spending_Value,Bank,SEP 2011,39.24,e-Money
Spending_Value,Non-bank,SEP 2011,2234.04,e-Money
Cards_Account,Bank,OCT 2011,0.43,e-Money
Cards_Account,Non-bank,OCT 2011,12.72,e-Money
Topup_Value,Bank,OCT 2011,30.63,e-Money
Topup_Value,Non-bank,OCT 2011,2213.85,e-Money
Spending_Value,Bank,OCT 2011,34.1,e-Money
Spending_Value,Non-bank,OCT 2011,2204.56,e-Money
Cards_Account,Bank,NOV 2011,0.41,e-Money
Cards_Account,Non-bank,NOV 2011,13.2,e-Money
Topup_Value,Bank,NOV 2011,27.51,e-Money
Topup_Value,Non-bank,NOV 2011,1735.86,e-Money
Spending_Value,Bank,NOV 2011,34.34,e-Money
Spending_Value,Non-bank,NOV 2011,1755.33,e-Money
Cards_Account,Bank,DEC 2011,0.45,e-Money
Cards_Account,Non-bank,DEC 2011,13.36,e-Money
Topup_Value,Bank,DEC 2011,58.47,e-Money
Topup_Value,Non-bank,DEC 2011,2121.11,e-Money
Spending_Value,Bank,DEC 2011,46.8,e-Money
Spending_Value,Non-bank,DEC 2011,2040.55,e-Money
Cards_Account,Bank,JAN 2012,0.5,e-Money
Cards_Account,Non-bank,JAN 2012,13.77,e-Money
Topup_Value,Bank,JAN 2012,67.14,e-Money
Topup_Value,Non-bank,JAN 2012,2148.85,e-Money
Spending_Value,Bank,JAN 2012,60.96,e-Money
Spending_Value,Non-bank,JAN 2012,2164.81,e-Money
Cards_Account,Bank,FEB 2012,0.54,e-Money
Cards_Account,Non-bank,FEB 2012,14.01,e-Money
