MeasureName,PaymentType,MonthYear,M_Value,TransType
volume_k,Others,JUN 2011,438.0,Bill Pay
value_b,Cash,JUN 2011,210.0,Bill Pay
value_b,Cheque,JUN 2011,233.0,Bill Pay
value_b,Others,JUN 2011,78.0,Bill Pay
volume_k,Cash,JUL 2011,23369.0,Bill Pay
volume_k,Cheque,JUL 2011,158.0,Bill Pay
volume_k,Others,JUL 2011,440.0,Bill Pay
value_b,Cash,JUL 2011,201.0,Bill Pay
value_b,Cheque,JUL 2011,188.0,Bill Pay
value_b,Others,JUL 2011,64.0,Bill Pay
volume_k,Cash,AUG 2011,23342.0,Bill Pay
volume_k,Cheque,AUG 2011,171.0,Bill Pay
volume_k,Others,AUG 2011,468.0,Bill Pay
value_b,Cash,AUG 2011,220.0,Bill Pay
value_b,Cheque,AUG 2011,264.0,Bill Pay
value_b,Others,AUG 2011,87.0,Bill Pay
volume_k,Cash,SEP 2011,22930.0,Bill Pay
volume_k,Cheque,SEP 2011,171.0,Bill Pay
volume_k,Others,SEP 2011,461.0,Bill Pay
value_b,Cash,SEP 2011,203.0,Bill Pay
value_b,Cheque,SEP 2011,246.0,Bill Pay
value_b,Others,SEP 2011,82.0,Bill Pay
volume_k,Cash,OCT 2011,23010.0,Bill Pay
volume_k,Cheque,OCT 2011,145.0,Bill Pay
volume_k,Others,OCT 2011,426.0,Bill Pay
value_b,Cash,OCT 2011,197.0,Bill Pay
value_b,Cheque,OCT 2011,193.0,Bill Pay
value_b,Others,OCT 2011,60.0,Bill Pay
volume_k,Cash,NOV 2011,20197.0,Bill Pay
volume_k,Cheque,NOV 2011,142.0,Bill Pay
volume_k,Others,NOV 2011,394.0,Bill Pay
value_b,Cash,NOV 2011,187.0,Bill Pay
value_b,Cheque,NOV 2011,195.0,Bill Pay
value_b,Others,NOV 2011,51.0,Bill Pay
volume_k,Cash,DEC 2011,23410.0,Bill Pay
volume_k,Cheque,DEC 2011,161.0,Bill Pay
volume_k,Others,DEC 2011,475.0,Bill Pay
value_b,Cash,DEC 2011,220.0,Bill Pay
value_b,Cheque,DEC 2011,220.0,Bill Pay
value_b,Others,DEC 2011,81.0,Bill Pay
volume_k,Cash,JAN 2012,22973.0,Bill Pay
volume_k,Cheque,JAN 2012,168.0,Bill Pay
volume_k,Others,JAN 2012,473.0,Bill Pay
value_b,Cash,JAN 2012,205.0,Bill Pay
value_b,Cheque,JAN 2012,202.0,Bill Pay
value_b,Others,JAN 2012,66.0,Bill Pay
volume_k,Cash,FEB 2012,23406.0,Bill Pay
volume_k,Cheque,FEB 2012,161.0,Bill Pay
volume_k,Others,FEB 2012,490.0,Bill Pay
value_b,Cash,FEB 2012,204.0,Bill Pay
value_b,Cheque,FEB 2012,224.0,Bill Pay
value_b,Others,FEB 2012,96.0,Bill Pay
volume_k,Cash,MAR 2012,25130.0,Bill Pay
volume_k,Cheque,MAR 2012,165.0,Bill Pay
volume_k,Others,MAR 2012,516.0,Bill Pay
value_b,Cash,MAR 2012,220.0,Bill Pay
value_b,Cheque,MAR 2012,234.0,Bill Pay
value_b,Others,MAR 2012,92.0,Bill Pay
volume_k,Cash,APR 2012,23945.0,Bill Pay
volume_k,Cheque,APR 2012,152.0,Bill Pay
volume_k,Others,APR 2012,487.0,Bill Pay
value_b,Cash,APR 2012,215.0,Bill Pay
value_b,Cheque,APR 2012,215.0,Bill Pay
value_b,Others,APR 2012,96.0,Bill Pay
volume_k,Cash,MAY 2012,26439.0,Bill Pay
volume_k,Cheque,MAY 2012,168.0,Bill Pay
volume_k,Others,MAY 2012,508.0,Bill Pay
value_b,Cash,MAY 2012,226.0,Bill Pay
value_b,Cheque,MAY 2012,237.0,Bill Pay
value_b,Others,MAY 2012,84.0,Bill Pay
volume_k,Cash,JUN 2012,25465.0,Bill Pay
volume_k,Cheque,JUN 2012,165.0,Bill Pay
volume_k,Others,JUN 2012,512.0,Bill Pay
value_b,Cash,JUN 2012,215.0,Bill Pay
value_b,Cheque,JUN 2012,197.0,Bill Pay
value_b,Others,JUN 2012,91.0,Bill Pay
volume_k,Cash,JUL 2012,26576.0,Bill Pay
volume_k,Cheque,JUL 2012,172.0,Bill Pay
volume_k,Others,JUL 2012,515.0,Bill Pay
value_b,Cash,JUL 2012,217.0,Bill Pay
value_b,Cheque,JUL 2012,178.0,Bill Pay
value_b,Others,JUL 2012,72.0,Bill Pay
volume_k,Cash,AUG 2012,26017.0,Bill Pay
volume_k,Cheque,AUG 2012,168.0,Bill Pay
volume_k,Others,AUG 2012,510.0,Bill Pay
value_b,Cash,AUG 2012,213.0,Bill Pay
value_b,Cheque,AUG 2012,212.0,Bill Pay
value_b,Others,AUG 2012,83.0,Bill Pay
volume_k,Cash,SEP 2012,26002.0,Bill Pay
volume_k,Cheque,SEP 2012,166.0,Bill Pay
volume_k,Others,SEP 2012,516.0,Bill Pay
value_b,Cash,SEP 2012,217.0,Bill Pay
value_b,Cheque,SEP 2012,240.0,Bill Pay
value_b,Others,SEP 2012,106.0,Bill Pay
volume_k,Cash,OCT 2012,27411.0,Bill Pay
volume_k,Cheque,OCT 2012,176.0,Bill Pay
volume_k,Others,OCT 2012,525.0,Bill Pay
value_b,Cash,OCT 2012,225.0,Bill Pay
value_b,Cheque,OCT 2012,237.0,Bill Pay
value_b,Others,OCT 2012,125.0,Bill Pay
volume_k,Cash,NOV 2012,26591.0,Bill Pay
volume_k,Cheque,NOV 2012,169.0,Bill Pay
volume_k,Others,NOV 2012,511.0,Bill Pay
value_b,Cash,NOV 2012,222.0,Bill Pay
value_b,Cheque,NOV 2012,222.0,Bill Pay
value_b,Others,NOV 2012,109.0,Bill Pay
volume_k,Cash,DEC 2012,27768.0,Bill Pay
volume_k,Cheque,DEC 2012,161.0,Bill Pay
volume_k,Others,DEC 2012,522.0,Bill Pay
value_b,Cash,DEC 2012,237.0,Bill Pay
value_b,Cheque,DEC 2012,217.0,Bill Pay
value_b,Others,DEC 2012,93.0,Bill Pay
volume_k,Cash,JAN 2013,27053.0,Bill Pay
volume_k,Cheque,JAN 2013,174.0,Bill Pay
volume_k,Others,JAN 2013,534.0,Bill Pay
value_b,Cash,JAN 2013,243.0,Bill Pay
value_b,Cheque,JAN 2013,229.0,Bill Pay
value_b,Others,JAN 2013,86.0,Bill Pay
volume_k,Cash,FEB 2013,26039.0,Bill Pay
volume_k,Cheque,FEB 2013,169.0,Bill Pay
volume_k,Others,FEB 2013,492.0,Bill Pay
value_b,Cash,FEB 2013,226.0,Bill Pay
value_b,Cheque,FEB 2013,197.0,Bill Pay
value_b,Others,FEB 2013,77.0,Bill Pay
volume_k,Cash,MAR 2013,29610.0,Bill Pay
volume_k,Cheque,MAR 2013,172.0,Bill Pay
volume_k,Others,MAR 2013,605.0,Bill Pay
value_b,Cash,MAR 2013,246.0,Bill Pay
value_b,Cheque,MAR 2013,217.0,Bill Pay
value_b,Others,MAR 2013,85.0,Bill Pay
volume_k,Cash,APR 2013,26797.0,Bill Pay
volume_k,Cheque,APR 2013,147.0,Bill Pay
volume_k,Others,APR 2013,488.0,Bill Pay
