MeasureName,UsageType,MonthYear,M_Value,TransType
volume_k,Cash withdrawal,JUL 2016,215.0,TH-Aboard
volume_k,Cash advance,JUL 2016,5.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,JUL 2016,1490.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,JUL 2016,1203.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,JUL 2016,1060.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,JUL 2016,172.0,TH-Aboard
value_m,Cash withdrawal,JUL 2016,2250.0,TH-Aboard
value_m,Cash advance,JUL 2016,48.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,JUL 2016,7788.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,JUL 2016,2542.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,JUL 2016,1419.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,JUL 2016,218.0,TH-Aboard
volume_k,Cash withdrawal,AUG 2016,204.0,TH-Aboard
volume_k,Cash advance,AUG 2016,5.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,AUG 2016,1195.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,AUG 2016,1396.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,AUG 2016,1135.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,AUG 2016,171.0,TH-Aboard
value_m,Cash withdrawal,AUG 2016,2194.0,TH-Aboard
value_m,Cash advance,AUG 2016,48.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,AUG 2016,5797.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,AUG 2016,2790.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,AUG 2016,1414.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,AUG 2016,217.0,TH-Aboard
volume_k,Cash withdrawal,SEP 2016,223,TH-Aboard
volume_k,Cash advance,SEP 2016,5,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,SEP 2016,1180,TH-Aboard
volume_k,Purchasing via online channels by credit cards,SEP 2016,1386,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,SEP 2016,1025,TH-Aboard
volume_k,Purchasing via online channels by debit cards,SEP 2016,367,TH-Aboard
value_m,Cash withdrawal,SEP 2016,2313,TH-Aboard
value_m,Cash advance,SEP 2016,50,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,SEP 2016,6400,TH-Aboard
