PaymentType,SystemType,ChannelType,MonthYear,M_Value,MeasureName,TransType
e-Payments,BAHTNET - 3rd Party,,MAY 2010,158.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct credit,MAY 2010,12006.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct debit,MAY 2010,6161.0,volume_k,Transactions processed
e-Payments,Bulk Payment,ITMX Bulk Payment (SMART),MAY 2010,2114.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),ATM,MAY 2010,7035.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Internet/Mobile Phone,MAY 2010,842.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Counter,MAY 2010,681.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,ATM,MAY 2010,13985.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,Internet/Mobile/Telephone,MAY 2010,6438.0,volume_k,Transactions processed
e-Payments,Payment cards,Debit card,MAY 2010,1064.0,volume_k,Transactions processed
e-Payments,Payment cards,Credit card,MAY 2010,20116.0,volume_k,Transactions processed
e-Payments,e-Money,,MAY 2010,14683.0,volume_k,Transactions processed
Cheque,Inhouse,,JUN 2010,3464.0,volume_k,Transactions processed
Cheque,Interbank,,JUN 2010,6736.0,volume_k,Transactions processed
e-Payments,BAHTNET - 3rd Party,,JUN 2010,185.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct credit,JUN 2010,13116.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct debit,JUN 2010,6378.0,volume_k,Transactions processed
e-Payments,Bulk Payment,ITMX Bulk Payment (SMART),JUN 2010,1992.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),ATM,JUN 2010,7602.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Internet/Mobile Phone,JUN 2010,926.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Counter,JUN 2010,805.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,ATM,JUN 2010,15073.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,Internet/Mobile/Telephone,JUN 2010,7138.0,volume_k,Transactions processed
e-Payments,Payment cards,Debit card,JUN 2010,1090.0,volume_k,Transactions processed
e-Payments,Payment cards,Credit card,JUN 2010,20390.0,volume_k,Transactions processed
e-Payments,e-Money,,JUN 2010,16287.0,volume_k,Transactions processed
Cheque,Inhouse,,JUL 2010,3233.0,volume_k,Transactions processed
Cheque,Interbank,,JUL 2010,5926.0,volume_k,Transactions processed
e-Payments,BAHTNET - 3rd Party,,JUL 2010,175.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct credit,JUL 2010,13241.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct debit,JUL 2010,6311.0,volume_k,Transactions processed
e-Payments,Bulk Payment,ITMX Bulk Payment (SMART),JUL 2010,1946.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),ATM,JUL 2010,7562.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Internet/Mobile Phone,JUL 2010,966.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Counter,JUL 2010,761.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,ATM,JUL 2010,15410.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,Internet/Mobile/Telephone,JUL 2010,7082.0,volume_k,Transactions processed
e-Payments,Payment cards,Debit card,JUL 2010,1157.0,volume_k,Transactions processed
e-Payments,Payment cards,Credit card,JUL 2010,21348.0,volume_k,Transactions processed
e-Payments,e-Money,,JUL 2010,17380.0,volume_k,Transactions processed
Cheque,Inhouse,,AUG 2010,3419.0,volume_k,Transactions processed
Cheque,Interbank,,AUG 2010,6535.0,volume_k,Transactions processed
e-Payments,BAHTNET - 3rd Party,,AUG 2010,183.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct credit,AUG 2010,13253.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct debit,AUG 2010,6681.0,volume_k,Transactions processed
e-Payments,Bulk Payment,ITMX Bulk Payment (SMART),AUG 2010,2083.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),ATM,AUG 2010,8089.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Internet/Mobile Phone,AUG 2010,978.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Counter,AUG 2010,798.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,ATM,AUG 2010,15402.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,Internet/Mobile/Telephone,AUG 2010,7247.0,volume_k,Transactions processed
e-Payments,Payment cards,Debit card,AUG 2010,1167.0,volume_k,Transactions processed
e-Payments,Payment cards,Credit card,AUG 2010,22293.0,volume_k,Transactions processed
e-Payments,e-Money,,AUG 2010,18743.0,volume_k,Transactions processed
Cheque,Inhouse,,SEP 2010,3616.0,volume_k,Transactions processed
Cheque,Interbank,,SEP 2010,6418.0,volume_k,Transactions processed
e-Payments,BAHTNET - 3rd Party,,SEP 2010,194.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct credit,SEP 2010,13909.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct debit,SEP 2010,6510.0,volume_k,Transactions processed
e-Payments,Bulk Payment,ITMX Bulk Payment (SMART),SEP 2010,2466.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),ATM,SEP 2010,7906.0,volume_k,Transactions processed
