SystemType,ChannelType,MonthYear,M_Value,TransType,MeasureName
ATM,ATM card,DEC 2018,5789.0,Payment cards,value
ATM,Debit card,DEC 2018,11268.0,Payment cards,value
EFTPOS Terminal,Credit card,JAN 2019,6163.0,Payment cards,value
EFTPOS Terminal,Debit card,JAN 2019,335.0,Payment cards,value
ATM,ATM card,JAN 2019,3839.0,Payment cards,value
ATM,Debit card,JAN 2019,9019.0,Payment cards,value
EFTPOS Terminal,Credit card,FEB 2019,5546.0,Payment cards,value
EFTPOS Terminal,Debit card,FEB 2019,306.0,Payment cards,value
ATM,ATM card,FEB 2019,3563.0,Payment cards,value
ATM,Debit card,FEB 2019,8654.0,Payment cards,value
EFTPOS Terminal,Credit card,MAR 2019,5974.0,Payment cards,value
EFTPOS Terminal,Debit card,MAR 2019,330.0,Payment cards,value
ATM,ATM card,MAR 2019,3961.0,Payment cards,value
ATM,Debit card,MAR 2019,9499.0,Payment cards,value
EFTPOS Terminal,Credit card,APR 2019,5871.0,Payment cards,value
EFTPOS Terminal,Debit card,APR 2019,306.0,Payment cards,value
ATM,ATM card,APR 2019,3449.0,Payment cards,value
ATM,Debit card,APR 2019,8810.0,Payment cards,value
EFTPOS Terminal,Credit card,MAY 2019,5614.0,Payment cards,value
EFTPOS Terminal,Debit card,MAY 2019,291.0,Payment cards,value
ATM,ATM card,MAY 2019,3438.0,Payment cards,value
ATM,Debit card,MAY 2019,8956.0,Payment cards,value
EFTPOS Terminal,Credit card,JUN 2019,5512.0,Payment cards,value
EFTPOS Terminal,Debit card,JUN 2019,284.0,Payment cards,value
ATM,ATM card,JUN 2019,3221.0,Payment cards,value
ATM,Debit card,JUN 2019,8635.0,Payment cards,value
EFTPOS Terminal,Credit card,JUL 2019,5853.0,Payment cards,value
EFTPOS Terminal,Debit card,JUL 2019,293.0,Payment cards,value
ATM,ATM card,JUL 2019,3078.0,Payment cards,value
ATM,Debit card,JUL 2019,8605.0,Payment cards,value
EFTPOS Terminal,Credit card,AUG 2019,5742.0,Payment cards,value
EFTPOS Terminal,Debit card,AUG 2019,310.0,Payment cards,value
ATM,ATM card,AUG 2019,2885.0,Payment cards,value
ATM,Debit card,AUG 2019,8506.0,Payment cards,value
EFTPOS Terminal,Credit card,SEP 2019,5587.0,Payment cards,value
EFTPOS Terminal,Debit card,SEP 2019,279.0,Payment cards,value
ATM,ATM card,SEP 2019,3158.0,Payment cards,value
ATM,Debit card,SEP 2019,8208.0,Payment cards,value
EFTPOS Terminal,Credit card,OCT 2019,5894.0,Payment cards,value
EFTPOS Terminal,Debit card,OCT 2019,291.0,Payment cards,value
ATM,ATM card,OCT 2019,3321.0,Payment cards,value
ATM,Debit card,OCT 2019,8653.0,Payment cards,value
EFTPOS Terminal,Credit card,NOV 2019,5881.0,Payment cards,value
EFTPOS Terminal,Debit card,NOV 2019,291.0,Payment cards,value
ATM,ATM card,NOV 2019,2924.0,Payment cards,value
ATM,Debit card,NOV 2019,8530.0,Payment cards,value
EFTPOS Terminal,Credit card,DEC 2019,7097.0,Payment cards,value
EFTPOS Terminal,Debit card,DEC 2019,321.0,Payment cards,value
ATM,ATM card,DEC 2019,3626.0,Payment cards,value
ATM,Debit card,DEC 2019,9689.0,Payment cards,value
EFTPOS Terminal,Credit card,JAN 2020,5945.0,Payment cards,value
EFTPOS Terminal,Debit card,JAN 2020,355.0,Payment cards,value
ATM,ATM card,JAN 2020,3814.0,Payment cards,value
ATM,Debit card,JAN 2020,8741.0,Payment cards,value
EFTPOS Terminal,Credit card,FEB 2020,5126.0,Payment cards,value
EFTPOS Terminal,Debit card,FEB 2020,278.0,Payment cards,value
ATM,ATM card,FEB 2020,3058.0,Payment cards,value
ATM,Debit card,FEB 2020,8643.0,Payment cards,value
EFTPOS Terminal,Credit card,MAR 2020,4528.0,Payment cards,value
EFTPOS Terminal,Debit card,MAR 2020,248.0,Payment cards,value
ATM,ATM card,MAR 2020,3369.0,Payment cards,value
ATM,Debit card,MAR 2020,8413.0,Payment cards,value
EFTPOS Terminal,Credit card,APR 2020,2663.0,Payment cards,value
EFTPOS Terminal,Debit card,APR 2020,141.0,Payment cards,value
ATM,ATM card,APR 2020,2577.0,Payment cards,value
ATM,Debit card,APR 2020,6383.0,Payment cards,value
EFTPOS Terminal,Credit card,MAY 2020,3383.0,Payment cards,value
EFTPOS Terminal,Debit card,MAY 2020,184.0,Payment cards,value
ATM,ATM card,MAY 2020,4141.0,Payment cards,value
ATM,Debit card,MAY 2020,7406.0,Payment cards,value
EFTPOS Terminal,Credit card,JUN 2020,4326.0,Payment cards,value
EFTPOS Terminal,Debit card,JUN 2020,210.0,Payment cards,value
ATM,ATM card,JUN 2020,4538.0,Payment cards,value
ATM,Debit card,JUN 2020,7710.0,Payment cards,value
EFTPOS Terminal,Credit card,JUL 2020,4399.0,Payment cards,value
EFTPOS Terminal,Debit card,JUL 2020,228.0,Payment cards,value
ATM,ATM card,JUL 2020,4424.0,Payment cards,value
ATM,Debit card,JUL 2020,7785.0,Payment cards,value
EFTPOS Terminal,Credit card,AUG 2020,4469.0,Payment cards,value
EFTPOS Terminal,Debit card,AUG 2020,234.0,Payment cards,value
ATM,ATM card,AUG 2020,2985.0,Payment cards,value
ATM,Debit card,AUG 2020,7517.0,Payment cards,value
EFTPOS Terminal,Credit card,SEP 2020,4253.0,Payment cards,value
EFTPOS Terminal,Debit card,SEP 2020,218.0,Payment cards,value
ATM,ATM card,SEP 2020,2822.0,Payment cards,value
ATM,Debit card,SEP 2020,7372.0,Payment cards,value
EFTPOS Terminal,Credit card,OCT 2020,4338.0,Payment cards,value
EFTPOS Terminal,Debit card,OCT 2020,219.0,Payment cards,value
ATM,ATM card,OCT 2020,2718.0,Payment cards,value
ATM,Debit card,OCT 2020,7579.0,Payment cards,value
EFTPOS Terminal,Credit card,NOV 2020,4674.0,Payment cards,value
EFTPOS Terminal,Debit card,NOV 2020,224.0,Payment cards,value
ATM,ATM card,NOV 2020,2943.0,Payment cards,value
ATM,Debit card,NOV 2020,7369.0,Payment cards,value
EFTPOS Terminal,Credit card,DEC 2020,5530.0,Payment cards,value
EFTPOS Terminal,Debit card,DEC 2020,244.0,Payment cards,value
ATM,ATM card,DEC 2020,2750.0,Payment cards,value
ATM,Debit card,DEC 2020,8223.0,Payment cards,value
EFTPOS Terminal,Credit card,JAN 2021,4028.0,Payment cards,value
EFTPOS Terminal,Debit card,JAN 2021,215.0,Payment cards,value
ATM,ATM card,JAN 2021,3529.0,Payment cards,value
ATM,Debit card,JAN 2021,6915.0,Payment cards,value
EFTPOS Terminal,Credit card,FEB 2021,3899.0,Payment cards,value
EFTPOS Terminal,Debit card,FEB 2021,203.0,Payment cards,value
ATM,ATM card,FEB 2021,3392.0,Payment cards,value
ATM,Debit card,FEB 2021,7076.0,Payment cards,value
EFTPOS Terminal,Credit card,MAR 2021,4726.0,Payment cards,value
EFTPOS Terminal,Debit card,MAR 2021,234.0,Payment cards,value
ATM,ATM card,MAR 2021,3891.0,Payment cards,value
ATM,Debit card,MAR 2021,7736.0,Payment cards,value
EFTPOS Terminal,Credit card,APR 2021,3874.0,Payment cards,value
EFTPOS Terminal,Debit card,APR 2021,213.0,Payment cards,value
ATM,ATM card,APR 2021,2943.0,Payment cards,value
ATM,Debit card,APR 2021,6688.0,Payment cards,value
EFTPOS Terminal,Credit card,MAY 2021,3667.0,Payment cards,value
EFTPOS Terminal,Debit card,MAY 2021,216.0,Payment cards,value
ATM,ATM card,MAY 2021,2871.0,Payment cards,value
ATM,Debit card,MAY 2021,6732.0,Payment cards,value
EFTPOS Terminal,Credit card,JUN 2021,3986.0,Payment cards,value
EFTPOS Terminal,Debit card,JUN 2021,215.0,Payment cards,value
ATM,ATM card,JUN 2021,2800.0,Payment cards,value
ATM,Debit card,JUN 2021,6475.0,Payment cards,value
EFTPOS Terminal,Credit card,JUL 2021,3421.0,Payment cards,value
EFTPOS Terminal,Debit card,JUL 2021,208.0,Payment cards,value
ATM,ATM card,JUL 2021,2569.0,Payment cards,value
ATM,Debit card,JUL 2021,5976.0,Payment cards,value
EFTPOS Terminal,Credit card,AUG 2021,3266.0,Payment cards,value
EFTPOS Terminal,Debit card,AUG 2021,200.0,Payment cards,value
ATM,ATM card,AUG 2021,2548.0,Payment cards,value
ATM,Debit card,AUG 2021,5766.0,Payment cards,value
EFTPOS Terminal,Credit card,SEP 2021,4002.0,Payment cards,value
EFTPOS Terminal,Debit card,SEP 2021,228.0,Payment cards,value
ATM,ATM card,SEP 2021,2679.0,Payment cards,value
ATM,Debit card,SEP 2021,5953.0,Payment cards,value
EFTPOS Terminal,Credit card,OCT 2021,4403.0,Payment cards,value
EFTPOS Terminal,Debit card,OCT 2021,230.0,Payment cards,value
ATM,ATM card,OCT 2021,2674.0,Payment cards,value
ATM,Debit card,OCT 2021,6270.0,Payment cards,value
EFTPOS Terminal,Credit card,NOV 2021,4910.0,Payment cards,value
EFTPOS Terminal,Debit card,NOV 2021,230.0,Payment cards,value
ATM,ATM card,NOV 2021,2805.0,Payment cards,value
ATM,Debit card,NOV 2021,5863.0,Payment cards,value
EFTPOS Terminal,Credit card,DEC 2021,5878.0,Payment cards,value
EFTPOS Terminal,Debit card,DEC 2021,263.0,Payment cards,value
ATM,ATM card,DEC 2021,6320.0,Payment cards,value
ATM,Debit card,DEC 2021,6979.0,Payment cards,value
EFTPOS Terminal,Credit card,JAN 2022,4891.0,Payment cards,value
EFTPOS Terminal,Debit card,JAN 2022,243.0,Payment cards,value
ATM,ATM card,JAN 2022,3721.0,Payment cards,value
ATM,Debit card,JAN 2022,6222.0,Payment cards,value
EFTPOS Terminal,Credit card,FEB 2022,4541.0,Payment cards,value
EFTPOS Terminal,Debit card,FEB 2022,216.0,Payment cards,value
ATM,ATM card,FEB 2022,3072.0,Payment cards,value
ATM,Debit card,FEB 2022,5599.0,Payment cards,value
EFTPOS Terminal,Credit card,MAR 2022,5186.0,Payment cards,value
EFTPOS Terminal,Debit card,MAR 2022,249.0,Payment cards,value
ATM,ATM card,MAR 2022,3502.0,Payment cards,value
ATM,Debit card,MAR 2022,6285.0,Payment cards,value
EFTPOS Terminal,Credit card,APR 2022,5002.0,Payment cards,value
EFTPOS Terminal,Debit card,APR 2022,234.0,Payment cards,value
ATM,ATM card,APR 2022,2997.0,Payment cards,value
ATM,Debit card,APR 2022,6045.0,Payment cards,value
EFTPOS Terminal,Credit card,MAY 2022,5421.0,Payment cards,value
EFTPOS Terminal,Debit card,MAY 2022,249.0,Payment cards,value
ATM,ATM card,MAY 2022,3050.0,Payment cards,value
ATM,Debit card,MAY 2022,6122.0,Payment cards,value
EFTPOS Terminal,Credit card,JUN 2022,5445.0,Payment cards,value
EFTPOS Terminal,Debit card,JUN 2022,256.0,Payment cards,value
ATM,ATM card,JUN 2022,2947.0,Payment cards,value
ATM,Debit card,JUN 2022,5983.0,Payment cards,value
EFTPOS Terminal,Credit card,JUL 2022,5449.0,Payment cards,value
EFTPOS Terminal,Debit card,JUL 2022,270.0,Payment cards,value
ATM,ATM card,JUL 2022,2644.0,Payment cards,value
ATM,Debit card,JUL 2022,5969.0,Payment cards,value
EFTPOS Terminal,Credit card,AUG 2022,5626.0,Payment cards,value
EFTPOS Terminal,Debit card,AUG 2022,211.0,Payment cards,value
ATM,ATM card,AUG 2022,2741.0,Payment cards,value
ATM,Debit card,AUG 2022,4581.0,Payment cards,value
